TIMESTAMP_MS,DIAG_STAT,X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TEMP_OUT,TIME_STAMP,DATA_CNTR,X_DELTANG_LOW
13124,0,41030901,626,-38608622,-590,8375437,127,10199900,155,9098642,138,266583995,4067,265,0,53043,22299
13186,0,41368762,631,-49007207,-748,23371087,356,26042708,397,21391858,326,265780905,4055,264,0,53167,24316
13248,0,37332522,558,-80726887,-1232,377393,5,30454206,464,27978468,426,238949138,3646,262,0,53292,20682
13311,0,-213347715,-3256,8555364,175,7798771,118,24335160,371,7656312,116,274365131,4186,265,0,53417,-122522
13374,0,-155996149,-2381,121197006,1849,-18635223,-285,20983385,320,8085245,188,320313657,4887,263,0,53542,-87451
13435,0,3875255,59,-16363823,-250,14954911,228,28371217,432,2941981,44,261677345,3992,263,0,53665,2037
13498,0,-85244600,-1301,-84397251,-1288,1154536,17,47756173,728,-5817368,-89,254318328,3880,263,0,53790,-47940
13561,0,116709205,1780,98209411,1498,50134609,764,44569210,680,-43021270,-657,255879088,3904,263,0,53916,66539
13624,0,1516452822,23139,-1117465622,-17052,670829405,10236,396908014,6056,892252005,13614,-150770592,-2301,265,0,54041,901310
13687,0,83465909,1273,-220399,-4,8851686,135,4524819,69,-22726008,-347,274015652,4181,265,0,54165,46551
13749,0,20091659,306,486271,7,6134493,93,2627141,40,-27621433,-422,261974482,3997,264,0,54291,11355
13811,0,6206267,94,2564095,39,-3684235,-57,5329681,81,-22440396,-343,262136404,3999,264,0,54415,3436
13874,0,17533399,267,1811800,27,3826570,58,469093,7,-30496944,-466,268003265,4089,264,0,54540,9545
13936,0,-5461906,-84,741772,11,-374055,-6,5739800,87,-24060165,-368,266151759,4061,263,0,54664,-3036
13999,0,-7553532,-116,764592,11,-13763793,-211,40926,0,-32034771,-460,254486222,3883,264,0,54789,-3777
14061,0,-12929666,-198,-18391731,-281,-3135768,-48,6187084,94,-25486738,-389,276159091,4213,265,0,54914,-6353
14123,0,-10761781,-165,605502,9,-9059423,-139,-3113673,-48,-30023951,-459,263098060,4014,265,0,55037,-6160
14186,0,-1739955,-27,727632,11,-251956,-4,1794176,27,-25444220,-397,261060327,3983,262,0,55163,-1009
14249,0,-14763530,-226,-2585666,-40,27552973,420,16240147,247,-12306659,-188,260644477,3977,265,0,55288,-7766
14311,0,5547604,84,719651,10,2784321,42,174282,11,-24208923,-370,262586750,4006,264,0,55412,2988
14373,0,-16723951,-256,-62371,-1,6227030,95,4043490,61,-25409696,-388,261820367,3995,265,0,55536,-9273
14435,0,7644019,116,1236475,18,-80983,-2,1577074,24,-24933326,-381,262703514,4004,262,0,55661,4199
14499,0,-14961591,-229,536201,8,-543997,-9,2821767,43,-22095349,-338,259732055,3963,264,0,55787,-8401
