X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
441281143,6733,-6607746,-94,-20970138,-320,11579511,176,97015732,1480,253561888,3869,0
446140197,6807,-6829703,-105,-23218734,-355,8324733,127,90253925,1377,254413243,3882,0
447586453,6829,-7918534,-121,-25807875,-394,7624331,116,92193619,1406,254248918,3879,0
451063818,6882,-8537472,-131,-26493442,-405,9394294,143,91860108,1420,252816722,3857,0
452836188,6909,-9013973,-138,-27969184,-427,5616242,85,92832861,1416,251550908,3838,0
456312308,6962,-9347052,-143,-27256745,-416,3227745,49,96990822,1475,251191978,3832,0
458214018,6991,-9672118,-148,-25448545,-389,3276111,49,94001533,1434,246989439,3768,0
460839972,7031,-9316498,-143,-25028545,-382,6543827,99,92377274,1409,245529226,3746,0
461101193,7035,-8711840,-133,-25439519,-391,3729032,56,93043392,1419,248421107,3790,0
461228252,7050,-8987317,-138,-24218761,-370,7873887,120,103756196,1583,248408327,3790,0
464368763,7085,-8641353,-132,-23412052,-358,5700119,86,98790135,1507,251452785,3836,0
466994016,7145,-8172339,-125,-24515224,-375,2389599,36,95151005,1451,245143881,3820,0
468503795,7148,-8244615,-126,-25127579,-384,2957962,45,102255669,1560,255375656,3896,0
469750495,7167,-9646163,-148,-23980945,-366,-2205568,-34,97882154,1493,247537701,3777,0
474480401,7239,-9656797,-148,-25891267,-396,-9346412,-86,90871182,1386,254699951,3886,0
474806275,7244,-9867740,-151,-25146325,-384,-4154985,-64,92312683,1408,250411094,3820,0
477359882,7283,-10182828,-156,-24063699,-368,1027386,15,108604032,1657,256569826,3914,0
480310646,7328,-10853387,-163,-24831149,-379,-10383707,-159,97746106,1491,248878526,3797,0
485235686,7404,-9912969,-152,-25587790,-391,-17608411,-269,98359783,1500,249092659,3800,0
485427343,7407,-9505506,-146,-24640744,-376,4749684,72,108244074,1651,254777338,3887,0
488634640,7455,-9098931,-139,-25262248,-386,5427031,82,114270791,1725,254837925,3888,0
493029074,7523,-9025833,-138,-24816564,-379,-4846766,-74,112729971,1720,251739607,3841,0
499717599,7625,-8871387,-136,-23737750,-363,1705134,26,108717617,1658,246815062,3766,0
502076817,7661,-8865549,-136,-23270037,-356,4488376,68,105813381,1614,250167030,3817,0
506077960,7722,-9193564,-141,-23146794,-354,-8386517,-128,99654907,1520,251352023,3835,0
507455152,7743,-8654965,-133,-23017493,-352,-400583,-7,113848227,1737,248022932,3784,0
509352551,7809,-7495658,-115,-21948730,-335,1892811,28,106270718,1621,246095336,3766,0
514140493,7845,-7686877,-118,-21548007,-329,5060067,77,109532912,1671,241229686,3680,0
516369359,7879,-7030401,-108,-24486239,-374,-1803729,-28,99103126,1512,240313906,3666,0
517820370,7901,-8518879,-130,-25093410,-383,-1400702,131,106987842,1632,239276356,3651,0
518343585,7909,-8729516,-134,-24215057,-370,10100329,154,104297136,1591,242018494,3692,0
520239398,7938,-8874203,-136,-25645164,-392,8261038,126,107263677,1636,245573272,3747,0
521294975,7954,-10293214,-179,-26800427,-409,2972805,45,102117582,1558,251247339,3833,0
524708248,8006,-11571416,-177,-26467110,-404,5968142,91,108009663,1648,245330018,3743,0
526476586,8033,-11299706,-173,-26951148,-412,8819327,134,108865329,1661,246914518,3767,0
529763929,8083,-13600294,-208,-27905377,-426,4637165,70,92880894,1417,234698447,3581,0
531010352,8102,-12452774,-191,-27991527,-428,8652356,132,101562777,1549,244213227,3726,0
530678652,8097,-12656340,-194,-27979865,-427,3493304,53,107773807,1751,243618980,3717,0
532645989,8127,-13407714,-205,-29928820,-457,8121171,123,112326510,1713,242629647,3702,0
536514452,8186,-13467401,-206,-28949190,-442,7277654,111,102731700,1567,238330621,3636,0
536912841,8192,-13131765,-201,-29427665,-467,12439737,189,107926342,1646,253931308,3874,0
537630135,8237,-13677943,-209,-30319907,-463,4915047,74,108721293,1658,242611903,3701,0
542481250,8277,-12740008,-195,-31148210,-476,-5555619,-85,105814366,1614,241044766,3678,0
543664627,8295,-13012725,-199,-32104594,-490,-7125415,-109,106141704,1619,243782479,3636,0
545047260,8316,-13952496,-213,-31832754,-486,4099149,62,102639659,1566,241616086,3686,0
545634291,8325,-12558327,-192,-29461499,-450,2449396,37,111421058,1700,239127246,3648,0
547007856,8346,-12176063,-186,-29058164,-444,-3647326,-235,106739295,1628,244565962,3731,0
548584190,8370,-13229195,-202,-29133793,-445,-706002,-11,104767166,1598,256310148,3910,0
552582580,8431,-13581216,-208,-28256726,-432,1382472,21,115623015,1764,252456260,3852,0
555988863,8483,-12696935,-189,-26994724,-412,-6513501,-100,114694075,1750,244584016,3732,0
562876702,8588,-12551923,-192,-27480209,-420,-7132124,-109,106409527,1623,249246903,3803,0
565175749,8623,-13164249,-201,-27901118,-426,3994829,60,103897276,1585,248147888,3786,0
569431166,8688,-12884742,-197,-26890244,-411,62991,0,111051292,1698,243146736,3710,0
570740518,8708,-12143107,-186,-26637713,-407,-7393291,-113,113902318,1738,240467620,3669,0
573425864,8749,-10988614,-168,-26162885,-400,-1529992,-24,112051285,1709,252774822,3857,0
576245574,8792,-11114854,-170,-25492328,-373,-7128892,-109,116490123,1777,249302974,3804,0
583653492,8905,-11698540,-179,-23816247,-364,-5581943,-86,107920386,1646,243105440,3709,0
587064524,8957,-11697656,-179,-23896099,-365,-8460066,-130,114220389,1742,241672204,3687,0
590017757,9028,-11144900,-171,-23098311,-353,-11928031,-183,114899440,1753,242689037,3798,0
592770251,9044,-10935355,-167,-22286796,-341,-2902440,-45,121176041,1848,246242423,3757,0
595192479,9081,-10463855,-160,-22922939,-350,-7097602,-109,119798405,1827,249483284,3813,0
603195026,9204,-10393849,-159,-23208820,-355,-6218823,-95,115169797,1757,253475799,3867,0
606736937,9258,-11842602,-181,-21458404,-328,-3552488,-55,110909720,1692,247803589,3781,0
612513832,9346,-11704588,-179,-21536156,-329,-8020886,-117,117647283,1795,242511650,3700,0
615463810,9391,-11574566,-178,-22983791,-351,-3417309,-53,118043126,1801,246686877,3764,0
619857740,9458,-11309611,-173,-23602809,-361,-13982806,-214,114388931,1745,246452190,3760,0
