X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
14496931,221,106016690,1617,-38379825,-586,-42435274,-648,-24708973,-378,247199466,3771,0
15281368,233,107348059,1638,-38321791,-585,-42591068,-650,-24311037,-371,247755161,3780,0
17048414,260,107569387,1641,-38258149,-584,-43020206,-656,-22064952,-337,250202215,3817,0
18228196,278,107437219,1627,-37923067,-579,-43764770,-668,-18497711,-283,253841804,3873,0
20594344,314,104609345,1596,-37988093,-580,-48471653,-740,-3031970,-47,263726983,4024,0
22111571,337,101307155,1460,-38446161,-587,-71668705,-1094,2481017,37,264536696,4036,0
27721501,422,87976426,1342,-38158442,-583,-71034288,-1084,-8408375,-129,245798150,3750,0
32331990,493,80032281,1221,-38078339,-582,-49940986,-763,-19720531,-301,226615867,3457,0
44021852,671,71781108,1095,-35642225,-544,-39740733,-607,-30336863,-583,194241319,2963,0
48801242,744,72900434,1112,-27575246,-421,-15872802,-243,-41934452,-640,184775229,2819,0
51999083,793,82532407,1259,-24419428,-373,-4161708,-64,-42467290,-648,173502544,2647,0
51236129,781,90573955,1382,-21249102,-268,11651170,177,-40917762,-625,170520783,2601,0
48649020,672,111378208,1699,-13681396,-209,16375533,249,-40590104,-620,172246633,2628,0
38158587,582,123260710,1880,-9826527,-150,21243049,324,-37266886,-569,175901792,2684,0
31174641,475,147073132,2244,-3469068,-53,20982495,320,-34372419,-525,180670684,2848,0
16743401,255,159200174,2429,-1719042,-27,14328663,218,-27090443,-414,193697461,2955,0
10681890,162,179974151,2746,2599134,39,8506556,129,-23172822,-354,201754863,3199,0
1451622,22,189139010,2886,3396930,51,-7409648,-114,-15932259,-244,217478081,3318,0
-1781396,-28,202919213,3096,2892880,44,-17166237,-262,-14016548,-214,225052991,3434,0
